Period,Sector ID,Sector Name,Fuel ID,Fuel Name,State ID,State Name,Value,Value Units
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AK,Alaska,34.27683,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AL,Alabama,106.254617,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AR,Arkansas,65.073337,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AZ,Arizona,92.555687,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,CA,California,358.266355,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,CO,Colorado,91.747156,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,CT,Connecticut,36.635352,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,DC,District of Columbia,2.807549,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,DE,Delaware,13.593983,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,FL,Florida,233.617789,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,GA,Georgia,136.496576,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,HI,Hawaii,20.532629,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,IA,Iowa,77.306447,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,ID,Idaho,20.087248,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,IL,Illinois,203.475091,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,IN,Indiana,176.181825,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,KS,Kansas,60.484168,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,KY,Kentucky,114.669208,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,LA,Louisiana,194.923784,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,MA,Massachusetts,63.338258,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,MD,Maryland,56.880413,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,ME,Maine,14.427305,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,MI,Michigan,159.255886,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,MN,Minnesota,92.101188,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,MO,Missouri,116.992725,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,MS,Mississippi,62.552464,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,MT,Montana,32.28748,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,NC,North Carolina,122.620087,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,ND,North Dakota,57.155438,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,NE,Nebraska,50.473051,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,NH,New Hampshire,13.934771,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,NJ,New Jersey,100.859915,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,NM,New Mexico,48.943892,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,NV,Nevada,41.755309,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,NY,New York,169.026024,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,OH,Ohio,196.699285,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,OK,Oklahoma,91.467418,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,OR,Oregon,41.847353,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,PA,Pennsylvania,218.757992,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,RI,Rhode Island,10.366102,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,SC,South Carolina,69.417704,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,SD,South Dakota,15.980149,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,TN,Tennessee,92.253528,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,TX,Texas,683.41525,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,US,United States,5159.726035,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,UT,Utah,61.509984,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,VA,Virginia,106.794626,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,VT,Vermont,6.020674,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WA,Washington,84.230026,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WI,Wisconsin,94.828774,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WV,West Virginia,85.450237,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,WY,Wyoming,59.097402,million metric tons of CO2
